Z-Height,RPM_0.1,RPM_0.2,RPM_0.3,RPM_0.5,RPM_0.7,RPM_1.0,RPM_1.5,RPM_2.0,RPM_3.0,RPM_4.5,RPM_6.0,RPM_8.0,RPM_10.0
-65.6,2.12,4.15,6.17,10.28,14.29,20.29,30.52,40.8,61.34,91.69,,,
-65.7,3.1,4.78,7.07,11.8,16.46,23.52,35.27,46.95,70.28,91.61,,,
-65.8,3.96,5.49,8.23,13.77,19.41,27.68,41.39,55.11,82.4,,,,
-65.9,5.11,6.55,9.85,16.65,23.42,33.37,50.04,66.8,91.72,,,,
-66,7.79,8.81,12.16,18.37,28.33,37.68,56.32,74.31,94.72,,,,
-66.1,11.74,11.72,16.3,20.89,27.67,38.82,55.42,73.05,92.32,,,,
-66.2,11.85,11.07,16.91,21.49,25.76,39.1,56.04,72.81,93.08,,,,
-66.3,11.15,9.95,17.44,24.84,27.61,34.02,56.93,68.29,91.76,,,,
-66.4,12.51,12.58,15.62,20.49,28.74,39.06,56.45,75.64,91.13,,,,
-66.5,80.34,80.2,78.06,74.5,64.4,58.2,56.33,54.74,54.11,77.74,,,
-66.6,,,,,,,,,,,,,
